SCHLAGWORT;UEBERSETZUNG
#T3211#klein#Hilfeleistung S-Bahn;Hilfeleistung S-Bahn klein
#T3212#klein#Hilfeleistung U-Bahn;Hilfeleistung U-Bahn klein
#T3310#Wasser#Bergung Sache / Leiche;Bergung Sache / Leiche
#T3311#Wasser#Rettung Tier;Rettung Tier
#T3313#Wasser#Tauchereinsatz ohne Rettung;Tauchereinsatz ohne Rettung
#T3410#RD#Tragehilfe;Tragehilfe
#T3510#Unwetter#Baum / Ast droht zu fallen;Baum / Ast droht zu fallen
#T3511#Unwetter#Baum / Ast auf Fahrbahn;Baum / Ast auf Fahrbahn
#T3512#Unwetter#Baum / Ast auf Schiene;Baum / Ast auf Schiene
#T3513#Unwetter#Baum / Ast auf Gebäude;Baum / Ast auf Gebäude
#T3514#Unwetter#Baum / Ast auf Stromleitung;Baum / Ast auf Stromleitung
#T3515#Unwetter#Baum / Ast auf PKW / LKW;Baum / Ast auf PKW / LKW
#T3516#Unwetter#Baum umgestürzt;Baum umgestürzt
#T3517#Unwetter#Bauteil / Gegenstand droht zu fallen;Bauteil / Gegenstand droht zu fallen
#T3518#Unwetter#Gebäude sichern;Gebäude sichern
#T3519#Unwetter#Bauzaun sichern;Bauzaun sichern
#T3520#Unwetter#Fahrbahn / Gehweg überschwemmt;Fahrbahn / Gehweg überschwemmt
#T3521#Unwetter#Gebäude unter Wasser;Gebäude unter Wasser
#T3522#Unwetter#Keller unter Wasser;Keller unter Wasser
#T3523#Unwetter#Fahrzeug / sonstiger Gegenstand sichern;Fahrzeug / sonstiger Gegenstand sichern
#T3524#Unwetter#Erkundung nicht zeitkritisch;Erkundung nicht zeitkritisch
#T3525#Unwetter#sonstiger Schaden;sonstiger Schaden
#T3610#Luft#Notlandung;Notlandung
#T3611#Luft#Ballon;Ballon
#T3612#Luft#Hubschrauber;Hubschrauber
#T3613#Luft#Kleinflugzeug;Kleinflugzeug
#T3710#Luft#Frachtflugzeug;Frachtflugzeug
#T3711#Luft#Passagierflugzeug;Passagierflugzeug
#T3712#Luft#Militärflugzeug;Militärflugzeug
#T3810#Wasser#Kollision Passagierschiff;Kollision Passagierschiff
#T3811#Wasser#Kollision Frachtschiff;Kollision Frachtschiff
#T3812#Wasser#Kollision Boot / Yacht / Floß;Kollision Boot / Yacht / Floß
#T3813#Wasser#Schiff-Leck Passagierschiff;Schiff-Leck Passagierschiff
#T3814#Wasser#Schiff-Leck Frachtschiff;Schiff-Leck Frachtschiff
#T3910#VU#Zug;VU Zug
